tipo_imovel,cidade,bairro,localizacao,metro_quadrado_terreno,metro_quadrado_construido,quantidade_comodos,quantidade_suites,possui_piscina,idade_anos,estado_conservacao,preco
apartamento,Sao Paulo,Guaianases,periferia,227,219,8,2,nao,7,ruim,774000
casa,Sao Paulo,M'Boi Mirim,periferia,622,257,11,4,sim,17,bom,1446000
apartamento,Sao Paulo,Grajau,periferia,196,173,7,1,nao,7,bom,706000
casa,Sao Paulo,Capao Redondo,periferia,252,180,10,1,nao,47,ruim,648000
apartamento,Sao Paulo,Perdizes,centro,86,81,3,3,nao,30,bom,971000
apartamento,Sao Paulo,Mooca,centro,81,75,2,0,nao,7,bom,531000
casa,Sao Paulo,Guaianases,periferia,148,81,4,2,sim,33,ruim,330000
chacara,Pinhalzinho,Zona Rural,periferia,4657,196,8,4,nao,7,bom,838000
casa,Sao Paulo,Jardim Paulista,centro,489,172,9,4,nao,10,bom,3118000
sitio,Mairipora,Zona Rural,periferia,82539,310,11,1,nao,12,bom,3083000
chacara,Juquitiba,Zona Rural,periferia,8410,398,13,1,nao,5,ruim,2762000
apartamento,Guarulhos,Centro (Guarulhos),periferia,178,156,6,1,nao,10,bom,860000
casa,Sao Paulo,Guaianases,periferia,998,313,14,2,sim,21,ruim,1862000
casa,Sao Paulo,Guaianases,periferia,779,273,11,4,nao,6,bom,1717000
apartamento,Sao Paulo,Sapopemba,periferia,97,87,2,0,nao,15,bom,378000
casa,Sao Paulo,Jardim Angela,periferia,196,128,7,4,nao,54,ruim,475000
apartamento,Sao Paulo,Cidade Ademar,periferia,240,211,7,0,nao,8,bom,1184000
casa,Sao Paulo,Higienopolis,centro,554,258,11,3,nao,10,ruim,3755000
sitio,Sao Luiz do Paraitinga,Zona Rural,periferia,66566,153,6,2,nao,25,ruim,1518000
apartamento,Sao Paulo,Jardim Angela,periferia,157,138,5,3,nao,37,ruim,475000
casa,Sao Paulo,Vila Mariana,centro,784,356,16,1,sim,9,bom,4611000
apartamento,Sao Paulo,Perus,periferia,59,56,2,0,nao,3,bom,206000
apartamento,Osasco,Centro (Osasco),periferia,180,170,6,2,nao,35,ruim,877000
casa,Sao Paulo,Brasilandia,periferia,458,284,15,2,nao,17,ruim,1189000
sitio,Mairipora,Zona Rural,periferia,26456,189,7,3,nao,31,ruim,820000
apartamento,Sao Paulo,Perdizes,centro,51,48,2,0,nao,9,bom,489000
apartamento,Sao Paulo,Guaianases,periferia,64,61,1,1,nao,0,bom,287000
casa,Sao Paulo,Pinheiros,centro,516,164,9,3,nao,3,bom,2965000
casa,Sao Paulo,Cidade Ademar,periferia,673,250,13,4,nao,27,ruim,1029000
casa,Sao Paulo,Mooca,centro,667,355,15,2,nao,23,ruim,3461000
apartamento,Guarulhos,Centro (Guarulhos),periferia,173,167,8,3,nao,3,bom,1012000
apartamento,Sao Paulo,Vila Madalena,centro,127,126,4,2,sim,2,bom,1859000
apartamento,Sao Paulo,Santana,centro,126,117,5,0,nao,32,ruim,738000
casa,Guarulhos,Centro (Guarulhos),periferia,451,320,17,1,nao,19,bom,1587000
chacara,Juquitiba,Zona Rural,periferia,8954,299,11,4,sim,5,bom,2859000
sitio,Ibiuna,Zona Rural,periferia,72506,162,7,1,nao,16,bom,3601000
chacara,Atibaia,Zona Rural,periferia,5048,223,7,2,sim,4,bom,1022000
sitio,Sao Luiz do Paraitinga,Zona Rural,periferia,55225,192,8,3,nao,35,ruim,2043000
apartamento,Sao Paulo,Itaim Paulista,periferia,46,45,1,0,nao,6,bom,207000
casa,Sao Paulo,Itaquera,periferia,697,245,12,3,nao,25,bom,1310000
apartamento,Sao Paulo,Moema,centro,168,149,6,2,nao,18,ruim,1876000
apartamento,Sao Paulo,Perdizes,centro,158,148,7,2,nao,39,bom,1420000
casa,Sao Paulo,Capao Redondo,periferia,151,73,3,3,sim,18,ruim,434000
casa,Sao Paulo,Cidade Ademar,periferia,256,153,6,4,nao,43,ruim,533000
apartamento,Sao Paulo,Itaquera,periferia,233,205,8,2,nao,45,ruim,898000
casa,Guarulhos,Centro (Guarulhos),periferia,969,382,18,2,nao,32,ruim,1805000
casa,Sao Paulo,Perus,periferia,542,298,14,4,nao,2,ruim,1460000
casa,Sao Paulo,Itaquera,periferia,435,203,9,1,nao,13,bom,1060000
apartamento,Sao Paulo,Jardim Paulista,centro,172,163,6,3,nao,5,bom,2211000
apartamento,Sao Paulo,Santana,centro,127,116,4,3,nao,33,ruim,709000
chacara,Ibiuna,Zona Rural,periferia,6457,272,11,2,sim,58,ruim,874000
casa,Sao Paulo,Mooca,centro,258,141,7,3,nao,22,ruim,1350000
casa,Sao Paulo,Pinheiros,centro,760,245,13,3,nao,33,ruim,4472000
casa,Osasco,Centro (Osasco),periferia,594,263,11,2,nao,32,ruim,1185000
casa,Sao Paulo,Jardim Angela,periferia,899,331,14,2,nao,20,bom,1611000
casa,Sao Paulo,Higienopolis,centro,995,353,15,1,sim,43,ruim,4258000
casa,Sao Paulo,Perus,periferia,526,295,12,4,nao,31,ruim,1013000
chacara,Braganca Paulista,Zona Rural,periferia,4152,129,6,2,nao,9,bom,956000
casa,Sao Paulo,Cidade Ademar,periferia,393,141,6,1,nao,29,ruim,844000
apartamento,Sao Paulo,Brasilandia,periferia,120,110,4,2,nao,36,ruim,410000
chacara,Sao Luiz do Paraitinga,Zona Rural,periferia,3634,398,13,2,nao,6,bom,1848000
casa,Sao Paulo,Jardim Angela,periferia,601,354,18,3,nao,9,bom,1435000
apartamento,Sao Paulo,Perus,periferia,112,103,4,3,nao,6,bom,519000
casa,Sao Paulo,Santana,centro,598,314,15,4,nao,17,bom,3653000
apartamento,Sao Paulo,Brooklin,centro,44,42,2,0,sim,15,bom,649000
apartamento,Sao Paulo,Santana,centro,73,64,4,1,nao,5,bom,507000
apartamento,Sao Paulo,Vila Mariana,centro,84,84,4,1,nao,3,bom,1055000
apartamento,Sao Paulo,Cidade Ademar,periferia,218,199,8,3,nao,9,bom,1337000
apartamento,Sao Paulo,Tatuape,centro,39,35,1,0,sim,2,bom,302000
apartamento,Sao Paulo,Perdizes,centro,131,123,5,3,sim,24,ruim,1241000
sitio,Piracaia,Zona Rural,periferia,65178,151,7,2,sim,2,bom,2684000
sitio,Piracaia,Zona Rural,periferia,71401,255,9,3,nao,2,bom,3216000
casa,Sao Paulo,Vila Madalena,centro,438,224,12,1,nao,6,bom,3129000
casa,Sao Paulo,Moema,centro,731,305,14,3,sim,8,bom,5224000
casa,Sao Paulo,Bela Vista,centro,440,257,13,1,sim,21,bom,2877000
apartamento,Sao Paulo,Santana,centro,231,208,7,1,nao,3,bom,1606000
apartamento,Sao Paulo,Itaim Paulista,periferia,89,88,3,3,nao,8,bom,374000
apartamento,Sao Paulo,Itaim Bibi,centro,217,191,8,3,nao,45,ruim,1849000
casa,Sao Paulo,Mooca,centro,157,111,5,2,sim,7,bom,1158000
casa,Sao Paulo,Cidade Tiradentes,periferia,257,149,6,1,nao,22,ruim,413000
apartamento,Sao Paulo,Santana,centro,190,170,8,0,nao,18,bom,1161000
apartamento,Sao Paulo,Moema,centro,62,58,3,1,nao,10,ruim,663000
apartamento,Sao Paulo,Pinheiros,centro,73,64,2,2,nao,12,bom,919000
chacara,Cotia,Zona Rural,periferia,6797,268,10,1,sim,24,ruim,1598000
casa,Sao Paulo,Cidade Tiradentes,periferia,507,309,15,3,nao,20,ruim,1084000
apartamento,Osasco,Centro (Osasco),periferia,232,203,7,2,nao,4,bom,1321000
casa,Sao Paulo,Perdizes,centro,516,297,15,2,nao,8,bom,3358000
apartamento,Sao Paulo,Santana,centro,110,98,4,3,nao,10,ruim,758000
casa,Sao Paulo,Pinheiros,centro,604,226,12,4,nao,38,ruim,3029000
chacara,Atibaia,Zona Rural,periferia,11008,330,13,4,nao,36,ruim,2009000
apartamento,Sao Paulo,Capao Redondo,periferia,67,66,3,0,nao,21,bom,259000
casa,Osasco,Centro (Osasco),periferia,155,78,3,3,nao,4,bom,655000
casa,Sao Paulo,Sapopemba,periferia,418,169,7,1,nao,5,bom,954000
apartamento,Sao Paulo,Vila Nova Conceicao,centro,191,187,7,1,nao,27,ruim,2638000
chacara,Juquitiba,Zona Rural,periferia,2793,344,13,1,nao,29,ruim,1144000
sitio,Ibiuna,Zona Rural,periferia,52559,250,8,3,nao,47,ruim,3096000
chacara,Juquitiba,Zona Rural,periferia,6140,195,6,4,sim,4,bom,1549000
apartamento,Sao Paulo,Itaim Bibi,centro,40,40,2,0,nao,18,ruim,555000
apartamento,Sao Paulo,Brooklin,centro,229,200,7,1,nao,11,bom,2198000
apartamento,Sao Paulo,Brasilandia,periferia,126,112,4,3,nao,0,bom,586000
sitio,Pinhalzinho,Zona Rural,periferia,60879,169,6,2,nao,8,bom,3532000
casa,Sao Paulo,Vila Olimpia,centro,401,128,6,1,sim,11,ruim,2033000
apartamento,Sao Paulo,Itaim Bibi,centro,53,51,2,0,sim,8,bom,666000
chacara,Juquitiba,Zona Rural,periferia,3618,303,11,2,sim,12,bom,1285000
apartamento,Sao Paulo,Vila Madalena,centro,115,113,6,0,nao,35,ruim,1027000
apartamento,Sao Paulo,M'Boi Mirim,periferia,104,99,3,1,nao,3,bom,363000
casa,Sao Paulo,Moema,centro,620,229,9,1,sim,50,ruim,2865000
apartamento,Sao Paulo,Sapopemba,periferia,65,64,3,1,nao,14,ruim,276000
chacara,Pinhalzinho,Zona Rural,periferia,8168,254,10,3,sim,0,bom,2322000
casa,Sao Paulo,Mooca,centro,548,229,9,3,nao,16,ruim,2978000
apartamento,Sao Paulo,Jardim Paulista,centro,51,46,2,1,nao,17,ruim,406000
apartamento,Sao Paulo,Vila Madalena,centro,159,153,7,2,nao,24,ruim,1640000
apartamento,Sao Paulo,Perus,periferia,50,50,1,1,nao,22,bom,251000
casa,Sao Paulo,Vila Madalena,centro,557,362,17,1,sim,37,ruim,3427000
casa,Sao Paulo,Santana,centro,851,316,16,2,nao,23,bom,4246000
apartamento,Sao Paulo,Jardim Angela,periferia,177,169,8,3,nao,16,ruim,530000
casa,Guarulhos,Centro (Guarulhos),periferia,313,106,4,2,sim,29,ruim,696000
sitio,Pinhalzinho,Zona Rural,periferia,77772,84,5,3,nao,45,ruim,2356000
casa,Sao Paulo,Jardim Paulista,centro,298,195,8,3,sim,9,bom,2730000
apartamento,Sao Paulo,Jardim Angela,periferia,199,184,7,2,nao,10,bom,846000
apartamento,Osasco,Centro (Osasco),periferia,216,191,9,3,nao,27,ruim,1016000
casa,Sao Paulo,Brasilandia,periferia,657,268,14,3,nao,29,ruim,1264000
apartamento,Sao Paulo,Tatuape,centro,199,174,7,0,nao,2,bom,1774000
apartamento,Sao Paulo,Guaianases,periferia,173,162,7,3,nao,30,ruim,693000
casa,Sao Paulo,Bela Vista,centro,819,302,14,4,nao,17,bom,5302000
casa,Sao Paulo,Parelheiros,periferia,958,345,17,1,nao,36,ruim,1325000
chacara,Ibiuna,Zona Rural,periferia,3523,210,7,1,nao,15,ruim,732000
casa,Sao Paulo,Grajau,periferia,404,283,12,4,nao,13,bom,1286000
casa,Sao Paulo,Capao Redondo,periferia,404,243,10,3,nao,33,ruim,769000
casa,Sao Paulo,Bela Vista,centro,439,145,8,2,nao,6,bom,2871000
apartamento,Sao Paulo,Capao Redondo,periferia,215,206,9,3,nao,9,bom,1123000
apartamento,Sao Paulo,Brasilandia,periferia,56,51,3,0,nao,8,ruim,211000
casa,Sao Paulo,Sapopemba,periferia,727,343,18,3,nao,10,bom,1359000
casa,Sao Paulo,Parelheiros,periferia,296,171,9,4,nao,20,bom,951000
apartamento,Sao Paulo,Moema,centro,65,60,1,0,nao,6,bom,806000
apartamento,Sao Paulo,Itaim Bibi,centro,234,212,7,1,nao,4,bom,2945000
apartamento,Sao Paulo,Jardim Paulista,centro,178,175,6,3,nao,28,bom,2033000
casa,Sao Paulo,Vila Mariana,centro,592,275,13,2,sim,46,ruim,3070000
casa,Sao Paulo,Cidade Ademar,periferia,559,195,10,4,nao,2,bom,1195000
casa,Sao Paulo,Santana,centro,386,139,6,2,nao,4,bom,1931000
apartamento,Sao Paulo,Cidade Ademar,periferia,85,82,2,2,nao,16,bom,446000
sitio,Braganca Paulista,Zona Rural,periferia,38578,113,5,2,sim,3,bom,1755000
casa,Sao Paulo,Vila Olimpia,centro,468,244,13,2,nao,26,ruim,2228000
apartamento,Sao Paulo,Itaquera,periferia,129,123,5,0,nao,19,ruim,495000
chacara,Nazare Paulista,Zona Rural,periferia,11496,351,14,2,nao,14,bom,3262000
chacara,Mairipora,Zona Rural,periferia,6576,254,9,1,sim,18,bom,1811000
chacara,Cotia,Zona Rural,periferia,4711,120,5,3,nao,12,bom,1339000
casa,Sao Paulo,Parelheiros,periferia,366,244,12,1,nao,38,ruim,776000
casa,Sao Paulo,Cidade Tiradentes,periferia,818,320,14,1,sim,34,bom,1306000
casa,Sao Paulo,Santana,centro,954,339,17,1,nao,27,ruim,4414000
chacara,Braganca Paulista,Zona Rural,periferia,8358,288,11,3,nao,8,bom,2657000
casa,Sao Paulo,Capao Redondo,periferia,407,254,12,3,nao,8,bom,1070000
apartamento,Sao Paulo,Vila Mariana,centro,111,102,4,3,nao,32,bom,1211000
casa,Sao Paulo,Perus,periferia,680,381,18,2,nao,9,bom,1770000
apartamento,Sao Paulo,Vila Olimpia,centro,41,40,3,0,nao,8,bom,464000
casa,Sao Paulo,Santana,centro,351,134,6,3,nao,17,bom,2421000
chacara,Braganca Paulista,Zona Rural,periferia,8521,377,15,1,sim,53,ruim,1832000
casa,Sao Paulo,Jardim Paulista,centro,163,70,4,3,nao,25,bom,1051000
apartamento,Sao Paulo,Tatuape,centro,161,147,7,3,sim,9,ruim,1176000
apartamento,Sao Paulo,Bela Vista,centro,214,190,8,1,nao,21,bom,1836000
casa,Sao Paulo,Sapopemba,periferia,763,324,16,3,sim,19,ruim,1776000
casa,Sao Paulo,Santana,centro,944,346,16,3,nao,36,ruim,3960000
apartamento,Sao Paulo,Vila Olimpia,centro,225,215,10,2,nao,27,ruim,1999000
apartamento,Sao Paulo,Bela Vista,centro,186,165,7,3,nao,20,bom,1277000
sitio,Ibiuna,Zona Rural,periferia,41812,79,5,3,nao,16,bom,751000
apartamento,Sao Paulo,Moema,centro,104,96,4,3,nao,10,bom,1462000
apartamento,Sao Paulo,Sapopemba,periferia,155,144,7,0,nao,17,bom,601000
apartamento,Sao Paulo,Guaianases,periferia,93,90,4,2,nao,48,ruim,347000
casa,Sao Paulo,Mooca,centro,895,393,18,4,sim,30,bom,5234000
sitio,Mairipora,Zona Rural,periferia,76772,296,12,2,sim,31,ruim,1781000
sitio,Juquitiba,Zona Rural,periferia,77584,81,3,3,sim,12,bom,2383000
chacara,Atibaia,Zona Rural,periferia,10262,386,14,4,nao,11,bom,2638000
casa,Sao Paulo,Itaquera,periferia,689,221,11,3,nao,14,bom,1289000
apartamento,Sao Paulo,Cidade Tiradentes,periferia,170,152,6,0,nao,8,bom,346000
casa,Sao Paulo,Itaquera,periferia,791,281,12,3,nao,12,bom,1602000
chacara,Pinhalzinho,Zona Rural,periferia,2358,184,6,4,sim,55,ruim,655000
apartamento,Sao Paulo,Bela Vista,centro,159,142,6,3,sim,27,bom,1411000
casa,Sao Paulo,Vila Madalena,centro,619,329,15,1,nao,17,bom,4021000
apartamento,Sao Paulo,Cidade Ademar,periferia,100,95,5,2,nao,27,ruim,385000
casa,Sao Paulo,Vila Mariana,centro,122,70,5,4,nao,8,bom,1017000
apartamento,Osasco,Centro (Osasco),periferia,189,174,8,0,nao,24,ruim,787000
casa,Sao Paulo,Vila Olimpia,centro,693,317,15,3,sim,18,bom,3827000
sitio,Pinhalzinho,Zona Rural,periferia,44148,123,4,2,sim,22,bom,1952000
casa,Sao Paulo,Vila Olimpia,centro,327,182,7,2,sim,16,bom,2031000
chacara,Braganca Paulista,Zona Rural,periferia,2187,226,8,3,nao,39,ruim,751000
apartamento,Sao Paulo,Jardim Paulista,centro,84,79,2,0,nao,1,bom,1067000
apartamento,Sao Paulo,M'Boi Mirim,periferia,143,135,4,2,nao,36,bom,442000
apartamento,Sao Paulo,Capao Redondo,periferia,99,88,3,1,nao,12,bom,405000
apartamento,Sao Paulo,Moema,centro,64,61,3,3,nao,37,ruim,614000
casa,Sao Paulo,Pinheiros,centro,995,326,15,1,sim,4,bom,6280000
casa,Guarulhos,Centro (Guarulhos),periferia,415,261,11,2,nao,14,ruim,1039000
casa,Sao Paulo,Parelheiros,periferia,450,247,10,1,nao,2,bom,987000
casa,Guarulhos,Centro (Guarulhos),periferia,780,386,17,3,nao,14,bom,1923000
apartamento,Sao Paulo,Itaquera,periferia,70,64,4,2,nao,10,bom,422000
apartamento,Sao Paulo,Capao Redondo,periferia,126,126,5,1,sim,25,ruim,524000
casa,Sao Paulo,M'Boi Mirim,periferia,747,267,11,4,nao,11,bom,1505000
apartamento,Sao Paulo,Higienopolis,centro,206,188,9,1,nao,46,ruim,2136000
sitio,Mairipora,Zona Rural,periferia,89790,149,7,3,nao,45,ruim,3630000
chacara,Atibaia,Zona Rural,periferia,3278,354,13,4,nao,14,ruim,1472000
apartamento,Sao Paulo,Mooca,centro,45,44,1,0,nao,34,bom,274000
apartamento,Sao Paulo,Perdizes,centro,151,142,7,2,nao,22,bom,1383000
apartamento,Sao Paulo,Pinheiros,centro,78,69,3,1,nao,17,ruim,734000
apartamento,Sao Paulo,Pinheiros,centro,206,181,6,2,nao,46,ruim,2125000
casa,Sao Paulo,Itaquera,periferia,688,367,16,3,nao,5,bom,1952000
apartamento,Sao Paulo,Itaim Bibi,centro,81,74,2,2,nao,15,ruim,1066000
casa,Sao Paulo,Parelheiros,periferia,832,262,14,1,nao,43,ruim,1099000
casa,Sao Paulo,Moema,centro,1083,398,17,4,nao,40,ruim,4165000
apartamento,Sao Paulo,Santana,centro,219,194,8,3,nao,18,bom,1429000
casa,Sao Paulo,Itaim Paulista,periferia,849,361,17,3,nao,7,bom,1498000
apartamento,Sao Paulo,Santana,centro,172,156,7,0,nao,28,ruim,1126000
sitio,Pinhalzinho,Zona Rural,periferia,32536,329,13,2,nao,6,ruim,1298000
casa,Sao Paulo,Guaianases,periferia,292,206,10,2,nao,26,ruim,737000
sitio,Atibaia,Zona Rural,periferia,52804,101,3,1,sim,21,ruim,908000
chacara,Mairipora,Zona Rural,periferia,3898,121,5,4,nao,4,bom,1168000
casa,Sao Paulo,M'Boi Mirim,periferia,532,219,9,2,nao,37,bom,1004000
casa,Sao Paulo,Brasilandia,periferia,641,201,9,1,nao,23,ruim,1154000
apartamento,Sao Paulo,Vila Madalena,centro,107,97,5,0,nao,22,ruim,1228000
apartamento,Sao Paulo,Vila Nova Conceicao,centro,220,210,7,3,nao,43,ruim,3134000
apartamento,Sao Paulo,Mooca,centro,177,164,8,2,nao,36,ruim,1286000
apartamento,Sao Paulo,Jardim Angela,periferia,218,216,10,1,nao,10,bom,775000
sitio,Nazare Paulista,Zona Rural,periferia,84074,238,8,1,sim,4,bom,5097000
apartamento,Sao Paulo,Vila Madalena,centro,181,180,6,1,nao,25,bom,2087000
chacara,Mairipora,Zona Rural,periferia,3719,141,7,4,sim,41,ruim,687000
apartamento,Sao Paulo,Perdizes,centro,124,113,6,3,nao,18,ruim,1222000
apartamento,Sao Paulo,Pinheiros,centro,220,204,8,0,sim,27,ruim,2609000
casa,Sao Paulo,Cidade Ademar,periferia,434,186,7,3,nao,12,bom,1081000
apartamento,Sao Paulo,Itaquera,periferia,50,47,1,0,nao,31,ruim,154000
apartamento,Sao Paulo,Vila Mariana,centro,197,172,8,1,nao,3,bom,2154000
apartamento,Sao Paulo,Brooklin,centro,67,66,2,0,nao,15,bom,805000
apartamento,Sao Paulo,Higienopolis,centro,174,170,7,1,nao,31,ruim,1834000
casa,Sao Paulo,Vila Mariana,centro,250,97,5,3,nao,41,bom,1449000
apartamento,Sao Paulo,Grajau,periferia,137,130,5,0,nao,6,bom,508000
apartamento,Sao Paulo,Jardim Angela,periferia,129,120,5,0,nao,16,bom,380000
apartamento,Osasco,Centro (Osasco),periferia,197,189,9,1,nao,49,ruim,963000
casa,Sao Paulo,Parelheiros,periferia,606,341,18,4,nao,50,ruim,1018000
chacara,Piracaia,Zona Rural,periferia,7664,162,5,1,nao,20,bom,1288000
apartamento,Sao Paulo,Moema,centro,185,163,6,3,sim,15,ruim,1822000
apartamento,Sao Paulo,Pinheiros,centro,230,211,7,1,nao,8,bom,2850000
apartamento,Sao Paulo,Sapopemba,periferia,79,74,3,0,nao,4,bom,287000
apartamento,Sao Paulo,Capao Redondo,periferia,96,87,3,3,nao,34,ruim,393000
chacara,Mairipora,Zona Rural,periferia,6457,114,4,4,sim,8,bom,932000
casa,Sao Paulo,Perus,periferia,301,160,6,3,nao,13,bom,911000
chacara,Atibaia,Zona Rural,periferia,5633,264,10,4,nao,47,ruim,1502000
apartamento,Sao Paulo,Vila Olimpia,centro,58,58,2,1,nao,27,bom,737000
chacara,Braganca Paulista,Zona Rural,periferia,1935,288,11,1,sim,3,ruim,946000
apartamento,Sao Paulo,Mooca,centro,78,74,2,0,nao,39,ruim,509000
apartamento,Sao Paulo,Itaquera,periferia,116,115,4,0,nao,41,ruim,496000
casa,Sao Paulo,Vila Madalena,centro,519,269,11,3,sim,43,ruim,2899000
apartamento,Sao Paulo,Vila Mariana,centro,172,169,7,0,nao,26,bom,2021000
sitio,Cotia,Zona Rural,periferia,71150,241,9,1,sim,3,ruim,1705000
apartamento,Sao Paulo,Moema,centro,51,49,2,1,nao,22,bom,692000
sitio,Braganca Paulista,Zona Rural,periferia,87679,138,7,3,nao,17,ruim,2221000
apartamento,Sao Paulo,Perdizes,centro,214,209,8,3,nao,10,bom,2617000
apartamento,Sao Paulo,Jardim Paulista,centro,231,215,10,3,sim,8,bom,3085000
apartamento,Sao Paulo,Itaquera,periferia,188,181,7,3,nao,37,ruim,794000
apartamento,Sao Paulo,Itaquera,periferia,104,103,5,3,nao,26,bom,519000
casa,Sao Paulo,Vila Madalena,centro,1161,382,16,4,nao,13,bom,6402000
casa,Sao Paulo,Perus,periferia,327,166,7,3,sim,23,ruim,766000
casa,Sao Paulo,Pinheiros,centro,354,239,12,2,nao,31,ruim,2662000
casa,Sao Paulo,Parelheiros,periferia,910,348,15,4,nao,30,ruim,1625000
apartamento,Sao Paulo,Itaim Bibi,centro,221,217,9,1,nao,8,bom,3393000
chacara,Cotia,Zona Rural,periferia,4453,324,12,1,sim,3,bom,1379000
casa,Sao Paulo,Jardim Angela,periferia,410,208,11,4,nao,47,ruim,580000
apartamento,Sao Paulo,Grajau,periferia,77,70,4,0,nao,39,ruim,217000
apartamento,Sao Paulo,Higienopolis,centro,130,118,4,1,nao,7,bom,1568000
apartamento,Sao Paulo,Vila Nova Conceicao,centro,113,101,4,2,nao,8,bom,1738000
sitio,Juquitiba,Zona Rural,periferia,98240,316,11,1,sim,40,ruim,1653000
apartamento,Sao Paulo,Perdizes,centro,224,214,9,0,sim,16,bom,2581000
apartamento,Sao Paulo,Sapopemba,periferia,80,76,2,0,nao,31,ruim,273000
chacara,Pinhalzinho,Zona Rural,periferia,4006,85,5,1,sim,16,bom,1077000
apartamento,Sao Paulo,Vila Nova Conceicao,centro,177,165,8,3,nao,18,bom,2577000
casa,Sao Paulo,Vila Nova Conceicao,centro,245,79,3,2,nao,39,ruim,1531000
casa,Sao Paulo,Jardim Paulista,centro,569,198,8,3,nao,56,ruim,2574000
sitio,Juquitiba,Zona Rural,periferia,116187,324,13,3,nao,54,ruim,6312000
apartamento,Sao Paulo,Vila Mariana,centro,93,89,5,1,nao,51,ruim,847000
casa,Sao Paulo,Jardim Angela,periferia,528,279,15,2,nao,38,ruim,793000
apartamento,Sao Paulo,Itaim Bibi,centro,74,65,2,1,nao,49,ruim,625000
apartamento,Sao Paulo,Guaianases,periferia,170,170,7,1,nao,3,bom,557000
apartamento,Sao Paulo,Itaim Paulista,periferia,66,65,3,1,nao,45,ruim,156000
casa,Sao Paulo,Cidade Tiradentes,periferia,332,164,8,4,sim,11,ruim,815000
apartamento,Sao Paulo,Higienopolis,centro,131,117,6,2,nao,26,bom,1494000
apartamento,Sao Paulo,Jardim Angela,periferia,156,153,5,1,nao,40,ruim,483000
casa,Sao Paulo,Guaianases,periferia,790,314,14,3,sim,24,ruim,1608000
chacara,Sao Luiz do Paraitinga,Zona Rural,periferia,9247,150,6,4,nao,14,ruim,2360000
casa,Sao Paulo,Vila Madalena,centro,590,354,16,1,nao,2,bom,3639000
chacara,Atibaia,Zona Rural,periferia,3683,334,11,4,sim,21,ruim,1350000
casa,Sao Paulo,Brooklin,centro,748,368,18,1,sim,23,ruim,4077000
casa,Sao Paulo,Capao Redondo,periferia,177,105,5,1,sim,41,ruim,375000
casa,Sao Paulo,Pinheiros,centro,590,213,12,2,sim,10,ruim,3929000
sitio,Ibiuna,Zona Rural,periferia,85135,198,9,1,sim,7,bom,2307000
chacara,Mairipora,Zona Rural,periferia,2375,347,13,2,sim,7,bom,1769000
chacara,Juquitiba,Zona Rural,periferia,7704,320,13,3,nao,29,ruim,1692000
casa,Sao Paulo,Higienopolis,centro,652,323,17,4,sim,6,bom,4247000
apartamento,Sao Paulo,Tatuape,centro,91,82,3,3,sim,44,ruim,670000
casa,Osasco,Centro (Osasco),periferia,461,274,11,3,nao,14,bom,1452000
apartamento,Sao Paulo,Itaim Bibi,centro,44,44,1,1,sim,29,ruim,564000
apartamento,Sao Paulo,Vila Nova Conceicao,centro,42,42,3,0,sim,19,ruim,608000
apartamento,Sao Paulo,Parelheiros,periferia,206,194,8,0,nao,7,bom,781000
casa,Sao Paulo,Grajau,periferia,391,152,8,4,nao,18,bom,819000
apartamento,Sao Paulo,Grajau,periferia,218,206,9,0,nao,21,ruim,794000
apartamento,Sao Paulo,Parelheiros,periferia,96,85,4,2,nao,34,ruim,323000
chacara,Sao Luiz do Paraitinga,Zona Rural,periferia,2247,384,13,4,sim,35,ruim,1112000
apartamento,Sao Paulo,Tatuape,centro,127,124,4,0,nao,32,ruim,733000
casa,Sao Paulo,Guaianases,periferia,895,358,15,2,nao,58,ruim,1545000
casa,Sao Paulo,Pinheiros,centro,573,370,16,1,nao,43,ruim,3944000
apartamento,Sao Paulo,Brasilandia,periferia,196,187,7,0,nao,10,bom,768000
casa,Sao Paulo,Vila Nova Conceicao,centro,152,88,6,3,nao,25,ruim,1285000
apartamento,Sao Paulo,Bela Vista,centro,68,68,4,3,nao,13,bom,677000
sitio,Pinhalzinho,Zona Rural,periferia,69245,220,8,1,sim,20,ruim,3280000
apartamento,Sao Paulo,Guaianases,periferia,218,216,8,0,nao,39,ruim,572000
casa,Sao Paulo,Vila Madalena,centro,592,223,11,2,nao,18,ruim,3429000
apartamento,Sao Paulo,Guaianases,periferia,79,75,4,0,nao,27,ruim,243000
casa,Sao Paulo,Itaim Paulista,periferia,939,300,14,1,nao,24,ruim,1320000
apartamento,Sao Paulo,Pinheiros,centro,63,57,1,0,nao,14,bom,748000
chacara,Juquitiba,Zona Rural,periferia,6440,115,5,1,sim,38,ruim,1481000
apartamento,Sao Paulo,Higienopolis,centro,90,80,4,1,nao,5,bom,1084000
apartamento,Sao Paulo,Santana,centro,229,212,8,3,sim,18,bom,1669000
apartamento,Sao Paulo,Itaim Bibi,centro,225,208,9,2,nao,1,bom,2673000
apartamento,Sao Paulo,Grajau,periferia,208,206,7,3,sim,40,ruim,749000
apartamento,Sao Paulo,Vila Madalena,centro,218,204,7,1,nao,23,bom,2570000
apartamento,Sao Paulo,Vila Olimpia,centro,174,154,7,3,nao,11,bom,1801000
chacara,Cotia,Zona Rural,periferia,6072,146,5,3,sim,8,bom,1643000
apartamento,Sao Paulo,Jardim Paulista,centro,90,83,4,3,sim,20,bom,1160000
